player,player_id,position,team_name,2025 Team,Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_attempts,rank_avoided_tackles,rank_breakaway_attempts,rank_breakaway_percent,rank_breakaway_yards,rank_designed_yards,rank_drops,rank_elu_recv_mtf,rank_elu_rush_mtf,rank_elu_yco,rank_elusive_rating,rank_explosive,rank_first_downs,rank_gap_attempts,rank_grades_hands_fumble,rank_grades_offense,rank_grades_offense_penalty,rank_grades_pass,rank_grades_pass_block,rank_grades_pass_route,rank_grades_run,rank_grades_run_block,rank_longest,rank_rec_yards,rank_receptions,rank_routes,rank_run_plays,rank_scramble_yards,rank_scrambles,rank_targets,rank_total_touches,rank_touchdowns,rank_yards,rank_yards_after_contact,rank_yco_attempt,rank_ypa,rank_yprr,rank_zone_attempts,rank_declined_penalties,rank_fumbles,rank_penalties
Cale Hellums,170981,QB,ARMY,Army,Army,4,67,9,2,16.1,37,0,158,0,0,5,101,18,6,23,114,2,22,63.2,55.9,79.5,31.7,0,55.9,65.2,60,21,0,0,0,1,92,72,14,0,53,3,230,126,1.88,3.4,0,12,312,31,152,178,498,316,227,264,415,248,215,813,151,21,89,986,1170,385,325,593,697,644,313,398,685,708,843,187,59,27,742,101,90,150,189,951,889,681,282,1,1196,1
Lucky Sutton,158807,HB,S DIEGO ST,San Diego State,San Diego State,4,67,15,1,5.1,17,0,336,1,1,15,230,79.6,10,23,284,0,35,84.5,76.2,81.3,0,85.4,46.3,78.4,58.3,17,0,5,2,57,92,0,0,3,69,3,336,230,3.43,5,0.09,32,312,31,53,299,560,464,54,80,257,48,39,339,49,21,25,11,252,234,334,6,874,118,865,489,621,502,241,187,246,251,486,43,90,62,42,382,530,671,63,1,1,1
Dean Connors,156624,HB,HOUSTON,Houston,Houston,4,67,8,3,34.3,111,0,306,0,0,7,199,27.8,6,9,182,0,18,84.3,71.3,81.4,0,29,70,72,63.3,54,0,59,10,58,90,18,1,11,76,3,324,218,3.25,4.8,1.02,48,312,31,177,122,332,98,70,264,415,169,63,733,151,230,135,13,427,223,334,510,177,305,152,89,265,172,230,197,156,192,203,28,90,70,53,429,584,396,14,1,1,1
Blake Horvath,162555,QB,NAVY,Navy,Navy,4,66,12,5,33.6,120,0,287,0,0,7,197,38.3,12,22,237,4,43,50,88.8,82,79.5,0,0,78.7,60,35,0,0,0,0,174,70,6,0,60,5,357,237,3.59,5.4,0,5,312,34,88,46,339,85,84,264,415,169,65,626,24,26,10,1154,36,175,56,593,934,109,313,203,685,708,927,8,61,105,742,71,24,41,38,334,452,681,481,1,1286,1
Shomari Lawrence,141839,HB,MO STATE,Missouri State,Missouri State,5,66,17,6,55.2,158,0,286,3,0,17,234,81.4,9,11,230,1,34,65.6,64.2,83.5,0,47,41.2,70.3,55.4,50,0,44,8,75,80,0,0,11,74,2,286,234,3.55,4.3,0.59,31,4,34,29,27,144,42,85,5,415,27,36,328,58,179,30,901,828,58,334,419,895,366,1006,111,331,206,162,239,246,251,203,32,148,96,39,346,692,537,68,1,1008,1
Mark Fletcher Jr.,175374,HB,MIAMI FL,Miami (FL),Miami (FL),4,66,18,7,35.7,139,0,389,1,3,18,251,114.1,13,24,220,0,42,84.2,86.1,80.7,0,77.7,50.9,89.6,58,38,0,45,4,61,76,0,0,5,70,5,389,251,3.8,5.9,0.74,24,312,34,25,16,321,58,30,80,109,23,30,205,19,15,13,18,53,285,334,81,832,9,892,179,325,371,215,269,246,251,381,39,24,34,32,282,369,489,112,1,1,1
Justice Haynes,172379,HB,MICHIGAN,Michigan,Michigan,4,66,16,7,59.4,319,0,537,1,5,16,311,131.9,11,22,222,0,31,84.3,81.9,81.9,0,68.8,59.1,84.6,56.7,75,0,29,9,63,80,0,0,11,75,6,537,311,4.71,8.1,0.46,34,312,34,39,16,118,3,6,80,42,36,13,163,33,26,39,13,98,187,334,244,531,33,952,17,414,191,205,239,246,251,203,29,14,6,13,166,143,582,49,1,1,1
Jeremiyah Love,171090,HB,NOTRE DAME,Notre Dame,Notre Dame,4,66,15,4,27.6,94,0,341,0,4,15,243,88.6,11,20,258,0,21,84.3,84.5,81.6,0,65.3,76.8,83.4,56.4,46,1,149,13,72,75,0,0,17,79,5,341,243,3.68,5.2,2.07,45,312,34,53,78,398,127,47,264,68,48,33,310,33,38,99,13,70,203,334,289,82,40,974,134,112,110,170,276,246,251,124,24,24,55,35,306,497,154,17,1,1,1081
Roman Hemby,144891,HB,INDIANA,Indiana,Indiana,5,65,18,6,33.5,117,0,349,0,4,18,227,109.8,9,19,190,1,27,65.7,75.9,81,0,31.4,72.1,76.7,59.2,30,0,76,5,60,78,0,0,5,70,0,349,227,3.49,5.4,1.27,33,4,39,25,27,342,88,42,264,68,23,42,220,58,47,56,897,264,259,334,496,140,159,786,247,215,310,219,255,246,251,381,39,550,47,45,369,452,324,54,1,1008,1
Evan Dickens,170066,HB,LIBERTY,Liberty,Liberty,5,65,9,4,33.7,115,0,341,0,0,9,174,34.9,9,13,206,0,33,84.1,79.6,82.9,0,60.6,75.8,78,55.7,52,0,59,4,47,99,0,0,4,69,2,341,174,2.68,5.2,1.26,32,4,39,152,78,338,93,47,264,415,129,93,662,58,144,33,19,134,101,334,337,93,130,1000,103,265,371,303,159,246,251,428,43,148,55,103,629,497,328,63,1,1,1
Chase Jenkins,173242,QB,RICE,Rice,Rice,5,64,14,4,33.3,95,0,220,0,0,11,114,41.5,10,16,275,2,35,67.3,70.2,83.7,66.5,0,60,65.9,60,34,0,0,0,1,221,65,9,0,55,3,285,132,2.06,4.5,0,16,4,41,62,78,343,124,137,264,415,87,185,601,49,89,25,820,496,49,165,593,451,608,313,210,685,708,843,1,70,66,742,92,90,97,177,842,653,681,206,1,1196,1
Jonah Coleman,158717,HB,WASHINGTON,Washington,Washington,4,64,16,7,38.6,161,0,417,0,3,16,281,111.2,14,26,340,0,17,84.1,85.7,82.1,0,48.6,79.3,86.3,48.5,38,0,176,11,66,76,0,0,13,75,9,417,281,4.39,6.5,2.67,46,312,41,39,16,285,40,17,264,109,36,20,214,13,9,147,19,56,168,334,407,58,22,1113,179,95,151,192,269,246,251,170,29,1,19,20,208,281,89,16,1,1,1
Makenzie McGill II,173209,HB,N TEXAS,North Texas,North Texas,5,63,18,2,13.5,43,0,318,0,1,18,206,94.1,7,19,251,1,27,63.9,68.2,9.6,0,54.9,51.5,72.1,59.6,27,1,9,3,70,72,0,0,5,66,4,318,206,3.27,5,0.13,33,4,43,25,178,523,278,62,264,257,23,58,288,123,47,56,973,606,1256,334,369,827,304,738,283,580,435,177,296,246,251,381,49,47,72,64,426,530,665,54,1,1008,1081
Yasin Willis,183381,HB,SYRACUSE,Syracuse,Syracuse,4,63,11,3,28.7,85,0,296,2,0,11,207,54.8,7,21,304,0,21,84,67.1,5.3,0,49.8,43.6,73.5,55.4,35,1,15,3,55,70,0,0,6,66,4,296,207,3.29,4.7,0.27,41,312,43,105,122,390,142,80,18,415,87,57,481,123,31,99,21,666,1264,334,403,887,256,1006,203,520,435,251,307,246,251,339,49,47,90,63,421,606,633,23,1,1,1081
Caleb Komolafe,176513,HB,NWESTERN,Northwestern,Northwestern,4,63,9,1,8.9,24,0,269,0,0,9,195,42.9,6,18,256,1,27,63.8,75.8,80.8,0,77.4,55.2,74.8,60,24,0,0,2,28,65,0,0,2,65,2,269,195,3.1,4.3,0,36,312,43,152,299,550,377,92,264,415,129,69,585,151,59,56,974,272,277,334,91,723,215,313,337,685,502,447,339,246,251,553,56,148,108,75,471,692,681,38,1,1008,1
Bryson Donelson,191080,HB,FRESNO ST,Fresno State,Fresno State,5,63,8,5,43.4,149,0,343,1,2,8,228,48.3,8,15,169,1,43,65.8,79.6,81.2,0,54.8,61.7,80.3,79.2,57,0,98,12,58,68,0,0,14,75,3,343,228,3.62,5.4,1.69,20,4,43,177,46,243,51,46,80,167,150,41,533,92,108,10,893,134,244,334,370,406,78,21,77,181,131,230,319,246,251,154,29,90,53,44,328,452,228,153,1,1008,1
Dontae McMillan,103994,HB,E MICHIGAN,Eastern Michigan,Eastern Michigan,5,62,27,5,31.7,132,0,417,2,8,27,283,215.9,15,17,160,1,4,65.8,76.2,81.8,0,87.4,56.9,80,64.8,40,0,134,12,96,96,0,0,14,74,1,417,283,4.56,6.7,1.4,58,4,47,7,46,361,68,17,18,12,7,17,84,6,72,504,893,252,198,334,2,636,80,131,165,121,131,103,169,246,251,154,32,284,19,17,178,262,291,9,1,1008,1
Mike Washington Jr.,145672,HB,ARKANSAS,Arkansas,Arkansas,5,61,6,9,61.1,240,0,393,0,1,6,204,34.4,11,20,111,1,35,64.2,75.7,83.3,0,35.2,64.9,79.6,61.7,53,0,99,7,88,92,0,0,10,68,4,393,204,3.34,6.4,1.13,25,4,48,239,4,111,11,27,264,257,203,61,665,33,38,25,969,276,73,334,481,302,88,183,97,178,234,123,187,246,251,226,46,47,31,67,407,294,362,106,1,1008,1
Chavon Wright,205258,HB,N ILLINOIS,Northern Illinois,Northern Illinois,4,61,14,1,18.7,45,0,241,0,4,14,218,97.5,5,15,254,0,22,83.6,77.5,81.6,60,70.4,58.6,78.5,57.6,45,0,14,5,45,80,0,0,6,66,1,241,218,3.57,4,0.31,39,312,48,62,299,482,268,115,264,68,55,49,282,196,108,89,23,203,203,215,218,552,113,917,138,528,310,315,239,246,251,339,49,284,136,53,338,761,616,27,1,1,1
Lincoln Pare,121537,HB,TEXAS ST,Texas State,Texas State,4,61,12,6,48.8,177,0,363,0,3,12,247,86.8,8,25,314,0,25,83.7,79.6,80.4,0,64.3,64.5,80.9,58.5,57,0,74,9,54,81,0,0,9,70,3,363,247,4.05,6,1.37,33,312,48,88,27,198,32,35,264,109,76,31,316,92,13,72,22,134,315,334,292,318,67,848,77,220,191,257,236,246,251,248,39,90,39,33,232,331,298,54,1,1,1
