Coach,School,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Lincoln Riley,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,259.6,279.28,276.62,270.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovie Smith,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,152.9,184.37,185.83,185.24,153.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Fickell,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,194.95,158.17,192.64,167.8,0,0,0,0,0,278.47,0,0,0,0,0,0,0,0,0,0,0
Mack Brown,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,246.65,218.57,0,0,0,0,0,234.52,300.12,284.05,312.07,277.12,271.6,293.1,281.78,218.62,256.03,237.4,305.24,109.14,185.94
Manny Diaz,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,256.71,222.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Arroyo,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,160.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Cristobal,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,259.49,277.98,260.22,0,0,0,0,0,134.46,76.24,153.54,152.22,123.67,93.66,0,0,0,0,0,0,0
Mark Stoops,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,229.87,203.49,206.91,207.73,204.07,193.19,225.4,195.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Campbell,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,190.9,192.25,185.19,180.53,170.58,138.12,115.38,141.96,138.36,0,0,0,0,0,0,0,0,0,0,0,0
Matt Viator,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,132.3,119.38,116.57,121.55,99.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Wells,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,183.17,177.69,123.61,120,130.65,124.56,97.8,105.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Mel Tucker,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,193.32,194.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Bloomgren,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,147.7,132.03,120.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Gundy,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,192.35,202.09,209.93,194.18,184.33,191.28,217.59,199.52,213.82,212.82,213.1,209.57,204.03,208.78,213.74,157.39,0,0,0,0,0
Mike Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,163.06,158.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Leach,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,220.24,174.14,194.84,186.45,169.74,188.41,176.62,177.9,173.37,0,0,206.43,131.78,170.43,192.05,172.32,157.29,108.77,173.15,0,0
Mike Locksley,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,209.67,192.18,0,0,0,0,0,0,0,0,157.08,95.54,0,0,0,0,0,0,0,0,0
Mike Neu,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,131.5,122.89,115.57,128.8,110.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Norvell,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,238.41,172.4,157.28,177.6,165.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal Brown,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,199.77,191.83,136.65,123.9,127.73,107.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Rolovich,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,179.28,129.53,138.46,133.96,111.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Saban,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,310.44,317.5,289.94,323.87,302.04,311.1,319.71,319.5,313.12,298.5,284.2,288.63,291.61,241.78,0,0,287.64,282.27,210.17,206.53,54.01
P. J. Fleck,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,199.35,194.48,206.66,171.42,160.72,147.78,153.42,106.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat Fitzgerald,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,190.69,188.14,180.18,182.07,174.91,174.83,182.68,174.64,178.76,150.59,176.85,169.62,141.43,165.66,115.18,0,0,0,0,0,0
Pat Narduzzi,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,192.65,181.53,193.19,202.12,209.23,183.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Chryst,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,225.54,219.51,195.04,193.87,202.85,189.85,187.66,196.04,198.81,0,0,0,0,0,0,0,0,0,0,0,0
Philip Montgomery,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,138.25,133.88,137.25,135.07,128.52,116.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Edsall,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,134.27,127.68,125.87,121.64,0,182.31,190.98,193.11,204.96,162.97,151.1,142.56,124.74,152.51,91.46,114.29,87.28,87.69,66.92,0,0
Rick Stockstill,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,150.6,154.43,125.31,128.1,128.26,134.77,124.03,125.23,87.49,66.67,88.46,135.97,149.84,105.47,55.56,0,0,0,0,0,0
Ricky Rahne,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,146.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rod Carey,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,145.3,136.56,141.69,122.74,111.4,138.94,109.52,108.89,0,0,0,0,0,0,0,0,0,0,0,0,0
